Chemical Name,Chemical ID,CAS RN,Disease Name,Disease ID,Direct Evidence,Inference Network,Inference Score,Reference Count
sodium houttuyfonate,C473296,,Acute Kidney Injury,MESH:D058186,,TLR4,3.28,1
Apigenin,D047310,520-36-5,"Kidney Tubular Necrosis, Acute",MESH:D007683,,PPARA|SOD2,3.28,2
arjunolic acid,C061640,465-00-9,"Kidney Tubular Necrosis, Acute",MESH:D007683,,SOD2,3.28,1
barium chloride,C024986,10361-37-2,"Kidney Tubular Necrosis, Acute",MESH:D007683,,SOD2,3.28,1
Camphor,D002164,76-22-2,"Kidney Tubular Necrosis, Acute",MESH:D007683,,PPARA,3.28,1
nabiximols,C587251,,"Kidney Tubular Necrosis, Acute",MESH:D007683,,SOD2,3.28,1
Trichloroacetic Acid,D014238,76-03-9,"Kidney Tubular Necrosis, Acute",MESH:D007683,,PPARA,3.28,1
3-hydroxypregn-4-en-20-one,C052610,25680-68-6,Acute Kidney Injury,MESH:D058186,,BAX,3.27,1
allyl methyl sulfide,C077207,10152-76-8,Acute Kidney Injury,MESH:D058186,,SOD1,3.27,1
aluminum acetate,C013396,,Acute Kidney Injury,MESH:D058186,,SOD1,3.27,1
anthracenylmethyl homospermidine,C529696,,Acute Kidney Injury,MESH:D058186,,BAX,3.27,1
azilsartan,C521273,,Acute Kidney Injury,MESH:D058186,,BAX,3.27,1
bornyl caffeate,C115950,,Acute Kidney Injury,MESH:D058186,,BAX,3.27,1
BTSA1 compound,C000624319,,Acute Kidney Injury,MESH:D058186,,BAX,3.27,1
Butanes,D002073,,Acute Kidney Injury,MESH:D058186,,BAX,3.27,1
camalexin,C102405,,Acute Kidney Injury,MESH:D058186,,BAX,3.27,1
Carbonates,D002254,,Acute Kidney Injury,MESH:D058186,,SOD1,3.27,1
chan-yu-bao-yuan-tang,C569176,,Acute Kidney Injury,MESH:D058186,,BAX,3.27,1
"Contraceptives, Oral, Combined",D003277,,Acute Kidney Injury,MESH:D058186,,PLG,3.27,1
demalonyl thyrsiflorin A,C524257,,Acute Kidney Injury,MESH:D058186,,BAX,3.27,1
Dibutyl Phthalate,D003993,84-74-2,Acute Kidney Injury,MESH:D058186,,AVP|B2M|BAX|BDKRB2|CCT7|CD44|CLU|CP|CYP1B1|CYP3A23-3A1|EDN1|EGFR|GAS6|GC|GFER|GPNMB|GSK3B|GSTA1|GSTM2|GSTP1|HIPK1|HMOX1|HP|IFI35|IGF1|IL10|IL6|LCN2|LRG1|MCOLN1|MIR23A|MIR30A|MIR30D|MUG1|NFE2L2|NFKB1|NOS2|NOS3|NPPA|NQO1|OCLN|ORM1|PLG|PPARG|SERPINA1|SIRT1|SOD1|SPP1|TGFB1|TLR4|TNF|TNFRSF12A|TP53|TTR|UGT1A1|UGT1A9|VEGFA,3.27,45
dihydroguaiaretic acid,C015816,36469-60-0,Acute Kidney Injury,MESH:D058186,,BAX,3.27,1
dimethyl-N-acetylmuramyl-alanylglutamate,C018522,60355-79-5,Acute Kidney Injury,MESH:D058186,,BAX,3.27,1
drimenol,C481244,,Acute Kidney Injury,MESH:D058186,,BAX,3.27,1
E-2-(4'-methoxybenzylidene)-benzusuberone,C515537,,Acute Kidney Injury,MESH:D058186,,BAX,3.27,1
EUK-172,C580814,,Acute Kidney Injury,MESH:D058186,,BAX,3.27,1
"Fat Emulsions, Intravenous",D005217,,Acute Kidney Injury,MESH:D058186,,BAX,3.27,1
ferrous oxide,C034236,1345-25-1,Acute Kidney Injury,MESH:D058186,,BAX,3.27,1
K075 compound,C518856,,Acute Kidney Injury,MESH:D058186,,SOD1,3.27,1
miltefosine,C039128,,Acute Kidney Injury,MESH:D058186,,SOD1,3.27,1
Moclobemide,D020912,71320-77-9,Acute Kidney Injury,MESH:D058186,,CYP2C19,3.27,1
"N-cinnamoyl-5,6-dehydro-4-hydroxyindolidin-2,7-dione",C582837,,Acute Kidney Injury,MESH:D058186,,SOD1,3.27,1
nylon 12,C036222,24937-16-4,Acute Kidney Injury,MESH:D058186,,SOD1,3.27,1
protectin D1,C487679,,Acute Kidney Injury,MESH:D058186,,BAX,3.27,1
so-ochim-tang-gamibang,C000621168,,Acute Kidney Injury,MESH:D058186,,BAX,3.27,1
squamosamide,C084439,142750-35-4,Acute Kidney Injury,MESH:D058186,,BAX,3.27,1
Toxaphene,D014112,8001-35-2,Acute Kidney Injury,MESH:D058186,,PPARG,3.27,3
undecylenic acid,C538763,,Acute Kidney Injury,MESH:D058186,,SOD1,3.27,1
Val-Pro-Met-Leu-Lys,C509183,,Acute Kidney Injury,MESH:D058186,,BAX,3.27,1
"1-methyl-4-phenyl-2,3-dihydropyridinium",C044755,94613-45-3,"Kidney Tubular Necrosis, Acute",MESH:D007683,,SOD2,3.27,1
"3,4-dihydroxybenzohydroxamic acid",C035419,69839-83-4,"Kidney Tubular Necrosis, Acute",MESH:D007683,,SOD2,3.27,1
CC-8490,C495817,,"Kidney Tubular Necrosis, Acute",MESH:D007683,,SOD2,3.27,1
Soot,D053260,,"Kidney Tubular Necrosis, Acute",MESH:D007683,,CCT7|FABP1|POMC|PPARA|SOD2,3.27,6
Steroids,D013256,,"Kidney Tubular Necrosis, Acute",MESH:D007683,,POMC,3.27,2
Wortmannin,D000077191,19545-26-7,"Kidney Tubular Necrosis, Acute",MESH:D007683,,PPARA|SOD2,3.27,2
103D5R,C496879,,Acute Kidney Injury,MESH:D058186,,VEGFA,3.26,2
"1-(2-methylbenzoxazol-6-yl)-3-(1,5)naphthyridin-4-yl urea",C420062,,Acute Kidney Injury,MESH:D058186,,POMC,3.26,1
"1,3-dichloro-1-propene",C023891,542-75-6,Acute Kidney Injury,MESH:D058186,,ALB,3.26,4
1-oleoyl-2-acetylglycerol,C038237,86390-77-4,Acute Kidney Injury,MESH:D058186,,INS,3.26,1
"3-(3,4-difluorophenyl)-4-(4-(methylsulfonyl)phenyl)-2(5H)-furanone",C102563,162011-83-8,Acute Kidney Injury,MESH:D058186,,ALB,3.26,4
"4-OH-2',3,3',4',5'-pentachlorobiphenyl",C501474,,Acute Kidney Injury,MESH:D058186,,UGT1A1,3.26,1
