Chemical Name,Chemical ID,CAS RN,Disease Name,Disease ID,Direct Evidence,Inference Network,Inference Score,Reference Count
bisphenol A,C006780,80-05-7,Acute Kidney Injury,MESH:D058186,marker/mechanism,A2M|AFM|AHSG|ALB|AMBP|AMN|ATP5F1B|AVP|B2M|BAX|BDKRB2|C3|CCR5|CCT7|CD44|CES1C|CLU|CP|CST3|CYP1B1|CYP2C19|CYP2C9|CYP2D6|CYP3A23-3A1|EDN1|EGFR|EPHX2|EPO|FSTL1|G6PD|GAS6|GC|GFER|GPNMB|GSK3B|GSTA1|GSTM2|GSTP1|HAVCR1|HBEGF|HBG2|HEXB|HIPK1|HMOX1|HP|HPX|HSPA1A|IFI35|IFNA2|IGF1|IGFBP1|IGG-2A|IL10|IL6|INS|KLK1|KNG1|LCN2|LRG1|LRP2|MCOLN1|MIR10A|MIR122|MIR140|MIR143|MIR192|MIR215|MIR25|MIR26A1|MIR335|MPO|MTHFR|MUG1|NFE2L2|NFKB1|NOS2|NOS3|NPPA|NQO1|OCLN|ORM1|PLG|POMC|PPARG|RAPGEF3|RUP2|SERPINA1|SIRT1|SLC11A1|SLC22A12|SLC22A24|SOD1|SPP1|TF|TFF3|TGFB1|TGFBR1|TLR2|TLR4|TNF|TNFRSF12A|TP53|TTR|UGT1A1|UGT1A9|UGT2B|UOX|VEGFA|ZNF644,70.55,80
Streptozocin,D013311,18883-66-4,Acute Kidney Injury,MESH:D058186,marker/mechanism,A2M|ALB|ATP5F1B|AVP|B2M|BAX|BDKRB2|CLU|CP|CST3|EDN1|EGFR|EPHX2|EPO|G6PD|GAS6|GSK3B|GSTA1|GSTM2|GSTP1|HAVCR1|HMOX1|HP|IGF1|IGFBP1|IL10|IL6|INS|KLK1|KNG1|LCN2|MIR10A|MIR140|MIR146B|MIR152|MIR192|MPO|MTHFR|NFE2L2|NFKB1|NOS2|NOS3|NPPA|NQO1|OCLN|ORM1|POMC|PPARG|SIRT1|SLC22A12|SOD1|SPP1|TGFB1|TGFBR1|TLR4|TNF|TP53|TTR|UOX|VEGFA,44.12,61
Glutathione,D005978,70-18-8,Acute Kidney Injury,MESH:D058186,marker/mechanism,ALB|BAX|CLU|CYP1B1|CYP2C19|CYP2C9|CYP2D6|CYP3A23-3A1|EGFR|EPO|G6PD|GSK3B|GSTA1|GSTM2|GSTP1|HMOX1|IGF1|IL10|IL6|INS|MPO|NFE2L2|NFKB1|NOS2|NQO1|OCLN|RUP2|SIRT1|SOD1|TGFB1|TLR2|TLR4|TNF|TP53|VEGFA,43.67,35
Buthionine Sulfoximine,D019328,5072-26-4,Acute Kidney Injury,MESH:D058186,marker/mechanism,ALB|AMBP|ATP5F1B|BAX|G6PD|GC|GSTA1|GSTM2|GSTP1|HMOX1|IGFBP1|IL10|IL6|LCN2|MIR151|MIR99A|MPO|NFE2L2|NFKB1|NOS2|NQO1|ORM1|PPARG|SOD1|SPP1|TGFBR1|TLR2|TLR4|TNF|TP53|VEGFA,43.41,33
melamine,C011907,108-78-1,Acute Kidney Injury,MESH:D058186,marker/mechanism,A2M|ALB|BAX|CD44|CLU|GPNMB|HAVCR1|IL6|LCN2|OCLN|SOD1|SPP1|TFF3|TGFB1|TNFRSF12A|UGT1A9,42.58,19
Diclofenac,D004008,15307-86-5,Acute Kidney Injury,MESH:D058186,marker/mechanism,A2M|AHSG|ALB|ATP5F1B|BAX|CCR5|CD44|CLU|CST3|CYP1B1|CYP2C19|CYP2C9|CYP2D6|CYP3A23-3A1|EDN1|EGFR|EPO|GC|GSK3B|GSTA1|GSTM2|GSTP1|HAVCR1|HBEGF|HMOX1|HP|HSPA1A|IFI35|IGFBP1|IL10|IL6|KLK1|KNG1|LCN2|LRG1|MIR122|MIR192|MPO|NFE2L2|NFKB1|NOS2|NQO1|OCLN|ORM1|PPARG|SOD1|TFF3|TLR2|TLR4|TNF|TP53|TTR|UGT1A1|UGT1A9|VEGFA,39.90,60
Fluorides,D005459,,Acute Kidney Injury,MESH:D058186,marker/mechanism,AHSG|ALB|BAX|CST3|G6PD|GSK3B|HAVCR1|HPX|HSPA1A|IL10|IL6|MPO|NFE2L2|NOS3|NQO1|PPARG|SOD1|SPP1|TGFB1|TLR2|TLR4|TNF,37.87,30
oxophenylarsine,C029341,637-03-6,Acute Kidney Injury,MESH:D058186,marker/mechanism,ALB|CP|EGFR|GSTA1|GSTP1|HMOX1|HP|HSPA1A|IGF1|IL10|IL6|INS|LCN2|NFE2L2|NFKB1|NOS2|NOS3|NQO1|POMC|SPP1|TF|TGFB1|TLR2|TNF,36.74,26
benazepril,C044946,86541-75-5,Acute Kidney Injury,MESH:D058186,marker/mechanism,AMBP|BAX|BDKRB2|EDN1|IL6|KNG1|MTHFR|NFKB1|NOS2|NPPA|PLG|SOD1|SPP1|TGFB1|TGFBR1|TLR4|TNF|VEGFA,35.28,22
Emodin,D004642,518-82-1,Acute Kidney Injury,MESH:D058186,marker/mechanism,BAX|CYP1B1|CYP2C19|CYP2C9|CYP2D6|GSTP1|HMOX1|IFNA2|IL10|IL6|MPO|NFE2L2|NFKB1|NOS2|NQO1|PPARG|SOD1|TGFB1|TNF|TP53|UGT1A1|UGT1A9|VEGFA,35.10,21
Vitamin A,D014801,11103-57-4,Acute Kidney Injury,MESH:D058186,marker/mechanism,ALB|BAX|CD44|CYP1B1|EGFR|EPO|GSTP1|HBEGF|IL10|INS|LRP2|MPO|NOS2|NOS3|NQO1|POMC|PPARG|SOD1|TGFBR1|TLR2|TLR4|TNF|TP53|TTR|UGT1A1|VEGFA,34.98,27
Puromycin Aminonucleoside,D011692,58-60-6,Acute Kidney Injury,MESH:D058186,marker/mechanism,ALB|AVP|BAX|C3|CD44|EDN1|GSK3B|GSTP1|HBEGF|HMOX1|LCN2|NOS2|NOS3|NPPA|PPARG|SPP1|TF|TGFB1|TNF|TP53|TTR|VEGFA,34.94,29
fumonisin B1,C056933,116355-83-0,Acute Kidney Injury,MESH:D058186,marker/mechanism,AFM|AHSG|BAX|CES1C|CLU|CP|CYP1B1|GSTM2|GSTP1|HAVCR1|HMOX1|HPX|IGF1|IGFBP1|IL6|LCN2|MIRLET7I|NFE2L2|NFKB1|NOS2|NQO1|OCLN|SOD1|SPP1|TGFB1|TNF|TP53|TTR|UOX|VEGFA,34.91,30
Cholecalciferol,D002762,67-97-0,Acute Kidney Injury,MESH:D058186,marker/mechanism,C3|CYP1B1|CYP2C9|CYP2D6|FSTL1|GC|HAVCR1|HMOX1|HP|IL10|IL6|LCN2|LRP2|MPO|NFE2L2|NOS2|NOS3|PPARG|SOD1|SPP1|TGFB1|TGFBR1|TLR4|TNF|TP53|VEGFA,34.71,33
Tacrolimus,D016559,109581-93-3,Acute Kidney Injury,MESH:D058186,marker/mechanism,A2M|B2M|BAX|C3|CD44|CLU|CP|CYP2C19|EDN1|GC|GPNMB|GSK3B|HAVCR1|HMOX1|IGF1|IGFBP1|IL6|INS|LCN2|MCOLN1|MIR146B|MPO|NFE2L2|NFKB1|NOS2|NOS3|NPPA|PPARG|SPP1|TGFB1|TGFBR1|TLR2|TNF|TP53|VEGFA,34.68,48
naphthalene,C031721,91-20-3,Acute Kidney Injury,MESH:D058186,marker/mechanism,A2M|AHSG|ALB|ATP5F1B|BAX|CLU|CYP1B1|CYP2C19|CYP2C9|CYP2D6|EDN1|EGFR|EPHX2|GSTM2|GSTP1|HMOX1|HSPA1A|IGF1|LRG1|MUG1|NFE2L2|NOS3|NQO1|ORM1|SERPINA1|TNF|TNFRSF12A|TP53|TTR,32.52,25
Simvastatin,D019821,79902-63-9,Acute Kidney Injury,MESH:D058186,marker/mechanism,A2M|BAX|CCR5|CD44|CYP1B1|CYP2C9|CYP2D6|EDN1|EGFR|EPO|GSK3B|GSTP1|HMOX1|IGF1|IL10|IL6|MPO|MTHFR|NFE2L2|NFKB1|NOS2|NOS3|NPPA|NQO1|OCLN|PPARG|SOD1|SPP1|TF|TGFB1|TLR2|TLR4|TNF|TP53|VEGFA,31.85,43
Mercury,D008628,7439-97-6,Acute Kidney Injury,MESH:D058186,marker/mechanism,A2M|AHSG|ALB|B2M|BAX|C3|CP|CST3|CYP1B1|EPO|G6PD|GSTA1|GSTP1|HAVCR1|HMOX1|HPX|HSPA1A|IGF1|IGFBP1|IL10|IL6|LCN2|MIR10A|MIRLET7I|MPO|NFE2L2|NFKB1|NOS2|NQO1|OCLN|SLC11A1|SOD1|SPP1|TF|TNF,30.99,35
ochratoxin A,C025589,303-47-9,Acute Kidney Injury,MESH:D058186,marker/mechanism,A2M|ALB|ATP5F1B|BAX|CD44|CLU|CP|CST3|CYP2C9|EDN1|EGFR|EPO|G6PD|GC|GSK3B|GSTA1|GSTM2|GSTP1|HAVCR1|HMOX1|HSPA1A|IFI35|IGF1|IGFBP1|IL10|IL20|IL6|INS|LCN2|MIR122|MIR146B|MIR148A|MIR152|MIR215|NFE2L2|NOS2|NPPA|NQO1|OCLN|PLG|PPARG|SERPINA1|SIRT1|SLC22A12|SLC22A24|SOD1|SPP1|TF|TGFB1|TGFBR1|TLR4|TNF|TNFRSF12A|TP53|VEGFA,30.88,56
Desoxycorticosterone,D003900,64-85-7,Acute Kidney Injury,MESH:D058186,marker/mechanism,BAX|EDN1|GAS6|HAVCR1|IL6|LCN2|NOS3|NPPA|POMC|SOD1|SPP1|TNF|TP53,30.23,23
ferric nitrilotriacetate,C020326,16448-54-7,Acute Kidney Injury,MESH:D058186,marker/mechanism,BAX|CD44|G6PD|HAVCR1|HMOX1|IL6|NFE2L2|NFKB1|NOS2|NQO1|SOD1|TGFB1|TNF|TP53,29.66,25
"lipopolysaccharide, Escherichia coli O111 B4",C440499,,Acute Kidney Injury,MESH:D058186,marker/mechanism,ALB|BAX|C3|EDN1|EGFR|G6PD|GFER|GSK3B|GSTA1|HBEGF|HMOX1|HP|IL10|IL6|INS|LCN2|MIR23A|MPO|NFE2L2|NFKB1|NOS2|NQO1|OCLN|POMC|PPARG|RAPGEF3|SIRT1|SOD1|SPP1|TGFB1|TLR2|TLR4|TNF|TP53|VEGFA,29.41,39
Aldosterone,D000450,52-39-1,Acute Kidney Injury,MESH:D058186,marker/mechanism,ALB|EDN1|EGFR|GAS6|GSTP1|HMOX1|IL6|NFE2L2|NPPA|PLG|POMC|PPARG|SOD1|TGFB1|TNF,28.87,21
Isoproterenol,D007545,7683-59-2,Acute Kidney Injury,MESH:D058186,marker/mechanism,A2M|AHSG|ALB|AVP|BAX|C3|CLU|CP|CYP1B1|EDN1|EGFR|G6PD|GAS6|GPNMB|GSK3B|GSTA1|HIPK1|HMOX1|IGF1|IL10|IL6|INS|LCN2|LRG1|MIR122|MPO|NFE2L2|NFKB1|NOS2|NOS3|NPPA|NQO1|POMC|PPARG|RAPGEF3|SOD1|SPP1|TGFB1|TLR4|TNF|TNFRSF12A|TP53|TTR|VEGFA,28.77,45
hexachlorobutadiene,C001335,87-68-3,Acute Kidney Injury,MESH:D058186,marker/mechanism,ALB|B2M|CLU|CST3|GPNMB|HAVCR1|HMOX1|KNG1|LCN2|NQO1|SPP1,28.36,21
Mesalamine,D019804,89-57-6,Acute Kidney Injury,MESH:D058186,marker/mechanism,ALB|BAX|HMOX1|IL10|IL6|MPO|NFE2L2|NOS2|OCLN|PPARG|SIRT1|SPP1|TGFB1|TLR4|TNF|VEGFA,27.77,25
Nifedipine,D009543,21829-25-4,Acute Kidney Injury,MESH:D058186,marker/mechanism,AVP|BAX|CLU|CYP1B1|CYP2C9|CYP2D6|CYP3A23-3A1|EDN1|GSTP1|HAVCR1|HMOX1|IGF1|LCN2|NFE2L2|NOS2|NOS3|NPPA|SPP1|TGFB1|TNF|TP53|VEGFA,27.64,31
Valproic Acid,D014635,99-66-1,Acute Kidney Injury,MESH:D058186,marker/mechanism,A2M|AFM|AHSG|ALB|AMBP|AMN|ATP5F1B|AVP|B2M|BAX|BDKRB2|C3|CCT7|CD44|CLU|CP|CST3|CYP1B1|CYP2C19|CYP2C9|CYP2D6|CYP3A23-3A1|EDN1|EGFR|EPHX2|FSTL1|G6PD|GAS6|GC|GFER|GPNMB|GSK3B|GSTA1|GSTM2|GSTP1|HBEGF|HEXB|HIPK1|HMOX1|HP|HPX|HSPA1A|IFI35|IGF1|IGFBP1|IL10|IL6|INS|KNG1|LCN2|LRG1|LRP2|MCOLN1|MIR10A|MIR143|MIR192|MIR30A|MPO|MTHFR|NFE2L2|NFKB1|NOS2|NOS3|NPPA|NQO1|OCLN|ORM1|PLG|POMC|PPARG|RAPGEF3|RUP2|SERPINA1|SIRT1|SLC22A12|SOD1|SPP1|TF|TFF3|TGFB1|TGFBR1|TLR4|TNF|TNFRSF12A|TP53|TTR|UGT1A1|UGT1A9|UOX|VEGFA|ZNF644,27.30,68
Glycerol,D005990,56-81-5,Acute Kidney Injury,MESH:D058186,marker/mechanism,ALB|BAX|GSTP1|HMOX1|IL6|NPPA|POMC|PPARG|SOD1|TF|TGFB1|TLR4|TNF|TP53,27.22,33
Norepinephrine,D009638,51-41-2,Acute Kidney Injury,MESH:D058186,marker/mechanism,AVP|BAX|BDKRB2|EDN1|EGFR|EPO|G6PD|HMOX1|IGF1|IL6|INS|NFE2L2|NFKB1|NOS2|NPPA|POMC|PPARG|TGFB1|TNF|TP53|VEGFA,26.94,47
Uric Acid,D014527,69-93-2,Acute Kidney Injury,MESH:D058186,marker/mechanism,CP|EDN1|HAVCR1|IL10|IL6|MPO|NFE2L2|NOS2|NOS3|NQO1|SLC22A12|SOD1|TGFB1|TLR4|TNF|UOX|VEGFA,26.69,24
Edaravone,D000077553,89-25-8,Acute Kidney Injury,MESH:D058186,marker/mechanism,BAX|EPHX2|HMOX1|HSPA1A|IL10|IL6|MPO|NFE2L2|NOS2|NOS3|NPPA|SOD1|TGFB1|TNF|VEGFA,26.42,19
Lovastatin,D008148,75330-75-5,Acute Kidney Injury,MESH:D058186,marker/mechanism,BAX|CD44|CP|CYP1B1|EGFR|G6PD|GSK3B|HMOX1|IGF1|IL6|INS|LCN2|MPO|NFE2L2|NOS2|NPPA|NQO1|PPARG|SOD1|TGFB1|TNF|TP53,26.27,35
Morphine,D009020,57-27-2,Acute Kidney Injury,MESH:D058186,marker/mechanism,ALB|AVP|BAX|CCR5|CYP2C19|CYP2D6|EPHX2|GSK3B|HMOX1|HP|HSPA1A|IL10|IL6|LCN2|MIR23A|MIR26A1|NFKB1|NOS2|PLG|POMC|TGFB1|TLR2|TLR4|TNF|TP53|TTR|UGT1A1|UGT1A9|UGT2B|VEGFA,26.12,32
Lansoprazole,D064747,,Acute Kidney Injury,MESH:D058186,marker/mechanism,CYP1B1|CYP2C19|CYP2C9|EGFR|GSTP1|HMOX1|IL10|IL6|MPO|NFE2L2|POMC|TGFB1|TNF|TP53|UGT1A1,25.79,13
Naproxen,D009288,22204-53-1,Acute Kidney Injury,MESH:D058186,marker/mechanism,ALB|CYP2C9|FSTL1|GSK3B|IL10|IL6|MPO|NFKB1|NOS2|POMC|PPARG|SPP1|TGFB1|TLR4|TNF|UGT1A1|UGT1A9|VEGFA,25.57,34
lead chloride,C029891,7758-95-4,Acute Kidney Injury,MESH:D058186,marker/mechanism,EDN1|GPNMB|GSTP1|HAVCR1|HMOX1|HSPA1A|IL10|IL6|NFE2L2|NOS2|NOS3|NQO1|SOD1|SPP1|TGFB1|TNF,25.05,23
Isoniazid,D007538,54-85-3,Acute Kidney Injury,MESH:D058186,marker/mechanism,A2M|ALB|ATP5F1B|BAX|CP|CYP3A23-3A1|EPHX2|G6PD|GSTA1|GSTP1|HAVCR1|HMOX1|IL10|IL6|LCN2|MPO|NFE2L2|NFKB1|NQO1|PPARG|SIRT1|SLC11A1|SOD1|SPP1|TF|TNF|UGT1A1,24.98,33
Penicillamine,D010396,52-67-5,Acute Kidney Injury,MESH:D058186,marker/mechanism,ALB|BAX|C3|CCR5|CLU|CP|HMOX1|HP|HSPA1A|IGF1|IL10|IL6|MPO|NFE2L2|NOS2|SLC11A1|SOD1|TLR4|TNF|TP53,24.98,25
sodium arsenite,C017947,13768-07-5,Acute Kidney Injury,MESH:D058186,marker/mechanism,A2M|AFM|AHSG|ALB|AMBP|AMN|ATP5F1B|B2M|BAX|BDKRB2|C3|CCR5|CCT7|CD44|CES1C|CLU|CP|CST3|CYP1B1|CYP2C19|CYP2C9|CYP2D6|CYP3A23-3A1|EDN1|EGFR|EPHX2|EPO|FSTL1|G6PD|GAS6|GC|GFER|GPNMB|GSK3B|GSTA1|GSTM2|GSTP1|HAVCR1|HBEGF|HEXB|HIPK1|HMOX1|HP|HPX|HSPA1A|IFI35|IGF1|IGFBP1|IL10|IL20|IL6|INS|KLK1|KNG1|LCN2|LRG1|LRP2|MCOLN1|MIR140|MIR143|MIR146B|MIR148A|MIR151|MIR152|MIR192|MIR215|MIR23A|MIR25|MIR26A1|MIR30A|MIR30D|MIR335|MIR99A|MIRLET7I|MPO|MTHFR|MUG1|NFE2L2|NFKB1|NOS2|NOS3|NPPA|NQO1|OCLN|ORM1|PLG|POMC|PPARG|RAPGEF3|SERPINA1|SIRT1|SLC11A1|SLC22A12|SOD1|SPP1|TF|TFF3|TGFB1|TGFBR1|TLR2|TLR4|TNF|TNFRSF12A|TP53|TTR|UGT1A1|UGT1A9|UOX|VEGFA|ZNF644,24.58,79
Superoxides,D013481,11062-77-4,Acute Kidney Injury,MESH:D058186,marker/mechanism,ALB|EDN1|EPO|HMOX1|IGF1|INS|MPO|NOS2|NOS3|NQO1|POMC|SIRT1|SOD1|TGFB1|TNF,24.54,18
Matrines,D000093842,,Acute Kidney Injury,MESH:D058186,marker/mechanism,BAX|GSK3B|HMOX1|IL10|IL6|NFE2L2|NQO1|SIRT1|TGFB1|TNF|TP53|VEGFA,24.18,15
potassium bromate,C019536,7758-01-2,Acute Kidney Injury,MESH:D058186,marker/mechanism,A2M|BAX|CLU|G6PD|HAVCR1|HMOX1|HP|IGFBP1|IL6|LCN2|MIR146B|NQO1|SOD1|SPP1|TNF|TP53|VEGFA,24.18,28
Amphotericin B,D000666,1397-89-3,Acute Kidney Injury,MESH:D058186,marker/mechanism,AMBP|CLU|CYP2C19|EPO|GSTP1|HAVCR1|HIPK1|HMOX1|HPX|HSPA1A|IL10|IL6|INS|LCN2|MIR140|MIR148A|MIR151|MIR152|MIR23A|MIR30A|MIR30D|SPP1|TGFB1|TLR2|TNF|UGT1A9,24.05,55
Gold,D006046,7440-57-5,Acute Kidney Injury,MESH:D058186,marker/mechanism,AHSG|ALB|ATP5F1B|BAX|C3|CYP2D6|EGFR|HAVCR1|HEXB|HMOX1|HPX|HSPA1A|IGF1|IL10|IL6|MTHFR|NFE2L2|NFKB1|NOS2|NQO1|SOD1|TGFB1|TLR2|TNF|TP53|UGT1A1,24.05,31
Gefitinib,D000077156,,Acute Kidney Injury,MESH:D058186,marker/mechanism,BAX|CYP1B1|CYP2D6|EGFR|GSK3B|HAVCR1|HBEGF|HMOX1|HSPA1A|IGF1|LCN2|MUG1|NFKB1|NPPA|TGFB1|TNF|TP53|VEGFA,24.01,33
Rifampin,D012293,13292-46-1,Acute Kidney Injury,MESH:D058186,marker/mechanism,BAX|CYP1B1|CYP2C19|CYP2C9|CYP2D6|CYP3A23-3A1|EDN1|GSTA1|GSTP1|HBEGF|HMOX1|IGFBP1|IL10|IL6|INS|MIR143|MIR192|MIR215|MPO|NFE2L2|NOS2|OCLN|PPARG|TNF|UGT1A1|UGT1A9|VEGFA,23.92,137
Ritonavir,D019438,,Acute Kidney Injury,MESH:D058186,marker/mechanism,ALB|BAX|CYP1B1|CYP2C19|CYP2C9|CYP2D6|CYP3A23-3A1|HMOX1|IL6|NFE2L2|NFKB1|NOS3|PPARG|TNF|TP53|UGT1A1,23.76,21
Alloxan,D000496,50-71-5,Acute Kidney Injury,MESH:D058186,marker/mechanism,BAX|HMOX1|IL10|IL6|INS|MPO|NFE2L2|NOS2|NOS3|NQO1|SOD1|TNF,23.38,12
Butylated Hydroxytoluene,D002084,128-37-0,Acute Kidney Injury,MESH:D058186,marker/mechanism,CD44|GSTM2|GSTP1|HEXB|HMOX1|IL10|KNG1|NFE2L2|NFKB1|NQO1|PPARG|SPP1|TGFB1|TNF|TP53|TTR|VEGFA,23.29,21
Colchicine,D003078,64-86-8,Acute Kidney Injury,MESH:D058186,marker/mechanism,ALB|AMBP|AVP|BAX|C3|CD44|CLU|CP|GSK3B|HMOX1|IL10|IL6|LRP2|MPO|NFE2L2|NOS2|OCLN|POMC|SOD1|TGFB1|TNF|TP53,23.29,24
Vancomycin,D014640,1404-90-6,Acute Kidney Injury,MESH:D058186,marker/mechanism,A2M|AFM|AHSG|ALB|B2M|BAX|C3|CD44|CLU|CP|CYP1B1|FSTL1|GSTM2|HAVCR1|HEXB|HMOX1|HP|IFI35|IGFBP1|IL10|IL6|LCN2|MAP1|NFE2L2|NFKB1|NOS2|NQO1|OCLN|SLC22A12|SPP1|TGFB1|TLR2|TLR4|TNF|TNFRSF12A|TP53|TTR|VEGFA,22.88,47
triptolide,C001899,38748-32-2,Acute Kidney Injury,MESH:D058186,marker/mechanism,AFM|ALB|AMBP|BAX|C3|CD44|CES1C|CLU|CP|CYP3A23-3A1|EGFR|GSK3B|HMOX1|HP|HPX|HSPA1A|IGF1|IGFBP1|IGG-2A|IL10|IL6|KNG1|MAP1|MIR122|MPO|MUG1|NFE2L2|NQO1|OCLN|PLG|SERPINA1|SIRT1|SOD1|TF|TLR4|TNF|TNFRSF12A|TP53|UOX,22.82,30
Calcium Carbonate,D002119,471-34-1,Acute Kidney Injury,MESH:D058186,marker/mechanism,G6PD|GC|HAVCR1|IL10|IL6|LCN2|NOS2|SOD1|SPP1|TGFB1,22.49,21
Iohexol,D007472,66108-95-0,Acute Kidney Injury,MESH:D058186,marker/mechanism,BAX|CST3|HAVCR1|HEXB|HMOX1|IL6|LCN2|NQO1|PPARG|TGFB1|TNF|TP53,22.29,34
Malathion,D008294,121-75-5,Acute Kidney Injury,MESH:D058186,marker/mechanism,ALB|BAX|BDKRB2|CYP1B1|CYP2C9|EDN1|G6PD|GSK3B|GSTA1|GSTP1|HBEGF|HMOX1|IFNA2|IL6|MPO|NFE2L2|NFKB1|NOS2|NOS3|NQO1|OCLN|PPARG|SOD1|TLR2|TLR4|TNF|TP53|TTR,22.15,30
Blood Glucose,D001786,,Acute Kidney Injury,MESH:D058186,marker/mechanism,A2M|BAX|CD44|EPHX2|GSK3B|HBEGF|HMOX1|HSPA1A|IFI35|IL10|IL6|INS|LCN2|LRG1|MPO|NFE2L2|NFKB1|NOS2|NOS3|NPPA|NQO1|OCLN|PPARG|SIRT1|SOD1|SPP1|TGFB1|TLR2|TLR4|TNF|TNFRSF12A,22.05,34
Nitrogen Dioxide,D009585,10102-44-0,Acute Kidney Injury,MESH:D058186,marker/mechanism,ALB|BAX|EDN1|GSTA1|GSTP1|HMOX1|IL10|IL6|MIR23A|MPO|NOS2|NOS3|NQO1|OCLN|SOD1|TGFB1|TNF|TP53,22.04,17
Iron-Dextran Complex,D007505,9004-66-4,Acute Kidney Injury,MESH:D058186,marker/mechanism,BAX|HMOX1|IL6|MPO|NFE2L2|NOS2|NOS3|PPARG|SIRT1|SOD1|TGFB1|TNF,21.73,14
Omeprazole,D009853,73590-58-6,Acute Kidney Injury,MESH:D058186,marker/mechanism,AFM|BAX|CYP1B1|CYP2C19|CYP2C9|CYP2D6|CYP3A23-3A1|GSTP1|HMOX1|HSPA1A|IGF1|IL10|IL6|MPO|NFE2L2|NQO1|PLG|SERPINA1|SOD1|TGFB1|TLR4|TNF|UGT1A1|UGT1A9,21.33,25
Uranyl Nitrate,D014502,10102-06-4,Acute Kidney Injury,MESH:D058186,marker/mechanism,ALB|BAX|CYP3A23-3A1|GC|HMOX1|HPX|NFE2L2|SOD1|TF,21.14,8
Nicotine,D009538,,Acute Kidney Injury,MESH:D058186,marker/mechanism,ALB|AVP|BAX|CCR5|CD44|CST3|CYP1B1|EDN1|EGFR|EPO|G6PD|GPNMB|GSK3B|GSTM2|HAVCR1|HIPK1|HMOX1|IGF1|IL10|IL6|KNG1|MIRLET7I|MPO|NFKB1|NOS2|NOS3|OCLN|POMC|PPARG|RAPGEF3|SIRT1|SOD1|SPP1|TF|TGFB1|TGFBR1|TLR4|TNF|TP53|UGT1A9|VEGFA,21.12,48
Tartrazine,D013645,1934-21-0,Acute Kidney Injury,MESH:D058186,marker/mechanism,AFM|AHSG|ALB|CYP2C9|GSTA1|HAVCR1|HPX|IL10|IL6|LCN2|NOS3|SOD1|TGFB1|TLR4|TNF|TP53|VEGFA,20.64,25
Gemcitabine,D000093542,,Acute Kidney Injury,MESH:D058186,marker/mechanism,A2M|BAX|CD44|CLU|EDN1|EGFR|GSK3B|HMOX1|IFNA2|IL10|IL6|INS|MPO|NFE2L2|NQO1|PPARG|SPP1|TGFB1|TNF|TP53|VEGFA,20.61,27
Ethylene Glycol,D019855,107-21-1,Acute Kidney Injury,MESH:D058186,marker/mechanism,BAX|CD44|CYP2C9|HAVCR1|IL6|NFKB1|OCLN|SPP1|TF|TNF,20.47,19
6-Ketoprostaglandin F1 alpha,D015121,58962-34-8,Acute Kidney Injury,MESH:D058186,marker/mechanism,AVP|BDKRB2|EDN1|KNG1|NOS2|TLR4|TNF,20.24,11
Fenitrothion,D005278,122-14-5,Acute Kidney Injury,MESH:D058186,marker/mechanism,ALB|BAX|CYP2C9|GSK3B|HMOX1|IL6|PPARG|SIRT1|SOD1|TLR4|TNF|TP53,20.21,18
Clozapine,D003024,5786-21-0,Acute Kidney Injury,MESH:D058186,marker/mechanism,ALB|ATP5F1B|BAX|CCT7|CST3|CYP1B1|CYP2C19|CYP2C9|CYP2D6|FSTL1|G6PD|GSK3B|GSTA1|GSTM2|GSTP1|HMOX1|IGF1|IGFBP1|IL10|INS|MPO|MTHFR|NFE2L2|NFKB1|NQO1|PPARG|SOD1|SPP1|TNF|TP53|TTR|UGT1A1,20.05,34
Patulin,D010365,149-29-1,Acute Kidney Injury,MESH:D058186,marker/mechanism,BAX|CLU|HAVCR1|IL10|IL20|OCLN|SOD1|TGFB1|TGFBR1|TP53|VEGFA,20.05,20
NG-Nitroarginine Methyl Ester,D019331,50903-99-6,Acute Kidney Injury,MESH:D058186,marker/mechanism,CST3|EDN1|IL6|MPO|NOS2|NOS3|NPPA|PPARG|SOD1|TGFB1|TNF|TP53,19.75,16
candesartan,C081643,139481-59-7,Acute Kidney Injury,MESH:D058186,marker/mechanism,BAX|BDKRB2|IL6|KLK1|MPO|NOS2|NOS3|NPPA|TGFB1|TNF|TP53|VEGFA,19.40,16
Tenofovir,D000068698,,Acute Kidney Injury,MESH:D058186,marker/mechanism,CYP2C9|EDN1|HAVCR1|HMOX1|MPO|NOS2|NOS3|PPARG|TNF|TP53,19.30,25
"Phosphorus, Dietary",D016226,,Acute Kidney Injury,MESH:D058186,marker/mechanism,EDN1|HAVCR1|IGF1|IL6|NFE2L2|NOS2|NOS3|TGFB1|TNF,19.27,19
Chloroquine,D002738,54-05-7,Acute Kidney Injury,MESH:D058186,marker/mechanism,AVP|BAX|CLU|CYP2D6|EGFR|GPNMB|HMOX1|IL10|IL6|LCN2|NFKB1|NOS2|NQO1|OCLN|POMC|PPARG|SOD1|TGFB1|TLR4|TNF|TP53,19.17,28
Flurbiprofen,D005480,5104-49-4,Acute Kidney Injury,MESH:D058186,marker/mechanism,ALB|CYP2C19|CYP2C9|IL10|IL6|KNG1|NFKB1|NOS2|NQO1|TNF|TP53|UGT1A1|UGT1A9,19.13,18
